episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
261,13100,114.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
262,13150,114.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
263,13200,114.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
264,13250,115.1,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
265,13300,115.5,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
266,13350,115.9,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
267,13400,116.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
268,13450,117.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
269,13500,117.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
270,13550,117.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
271,13600,118.1,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
272,13650,118.5,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
273,13700,118.9,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
274,13750,119.3,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
275,13800,119.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
276,13850,120.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
277,13900,120.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
278,13950,120.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
279,14000,121.2,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
280,14050,121.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
281,14100,122.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
282,14150,122.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
283,14200,122.8,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
284,14250,123.1,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
285,14300,123.5,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
286,14350,123.9,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
287,14400,124.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
288,14450,124.7,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
289,14500,125.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
290,14550,125.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
291,14600,125.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
292,14650,126.2,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
293,14700,126.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
294,14750,127.3,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
295,14800,127.6,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
296,14850,128.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
297,14900,128.4,rainbow_cnn_dqn,,-0.3,,50,0,,,,,,,,,,,
