number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
92,COMPLETE,8.424999999999986,64,512,0.00025209751087962935,3,8000,0.4876437032492622,0.5339210010686798,0.5424386224836494
93,PRUNED,90.44199999999906,32,512,0.000207507121798895,5,2000,0.6382882123917722,0.5718622713364279,0.5520643891481578
94,PRUNED,60.93799999999939,32,512,0.00033005097850245335,5,2000,0.6190961303784235,0.5455499726186985,0.6213396323281338
95,COMPLETE,67.77500000000029,32,256,0.00019111145337892595,5,2000,0.5589564024859904,0.5846300089609476,0.5650703013431623
96,PRUNED,9.306,64,256,5.059886626033338e-05,5,1000,0.6824388439687804,0.33408410710575653,0.3052605109550127
97,COMPLETE,16.224999999999987,32,256,0.0001830183469991219,5,1000,0.6766014786287216,0.5988260411456509,0.5740595244286456
98,COMPLETE,6.799999999999992,32,256,0.0001895246947189857,5,8000,0.5804241506510047,0.5954335502026222,0.5938955772212827
99,COMPLETE,57.27500000000042,128,256,0.00021220388717455339,3,8000,0.6434713565347187,0.38822423582721916,0.3980732169778719
100,PRUNED,24.817999999999994,128,512,9.572386644282092e-05,3,2000,0.35901621251330595,0.5497172573758062,0.6171828491802555
101,PRUNED,93.8580000000001,32,512,0.0009408345413284957,3,500,0.4194273595022531,0.5307370346771859,0.5813383024166796
102,PRUNED,16.439000000000036,32,256,0.00019864861400605905,5,2000,0.5176636033595434,0.5868405320930535,0.5339658523473458
103,PRUNED,127.04600000000165,128,256,0.0003696396363213413,3,1000,0.30728017304100214,0.5881127145847048,0.5847690752717094
104,COMPLETE,3.8999999999999986,32,256,0.00016514780365463772,1,2000,0.650775037181772,0.5893534537034062,0.572871092873216
105,PRUNED,99.20299999999976,32,256,0.0002028731761257284,5,8000,0.5706484435939602,0.5734695088396129,0.698850845851344
106,COMPLETE,15.924999999999983,32,256,0.00023257785801529567,5,2000,0.6117174298597546,0.5878692517032443,0.6312463705906262
107,PRUNED,11.607999999999999,32,256,0.00012023358739595107,5,500,0.6036334853880474,0.422895144325146,0.3834974649946823
108,PRUNED,12.158000000000015,32,256,8.176380127729238e-05,5,1000,0.5974487266051225,0.39150677806725914,0.36790223359403273
109,PRUNED,70.56999999999927,32,256,0.0003873531863227591,5,1000,0.6342860693591381,0.5737386528619863,0.5603024549865642
110,PRUNED,4.961999999999995,32,256,3.307484428622396e-05,5,1000,0.5940870475407714,0.3681899438752052,0.3312220110197971
111,COMPLETE,7.799999999999989,32,256,0.0001756035470892502,5,2000,0.6076322227480591,0.5718596578843385,0.6281726107730812
112,PRUNED,12.701000000000015,32,256,0.00023456741739576515,5,2000,0.5707715566967518,0.5567952346696583,0.6725522821740643
113,PRUNED,9.381999999999989,32,256,0.0001788162879831578,5,2000,0.6002523999978101,0.5624707074255464,0.6761951680587671
114,PRUNED,53.1399999999998,64,256,0.0003595418536861741,5,2000,0.5410289744871649,0.5536605999429723,0.6959106976169704
115,COMPLETE,13.474999999999973,32,256,0.00024408978564893882,5,1000,0.6747191600297314,0.35928088213821613,0.3349496797463809
116,COMPLETE,56.850000000000435,64,256,0.00013554344771267627,5,1000,0.6926075318537,0.39761172358693503,0.40959459433804374
117,COMPLETE,15.524999999999975,128,512,0.000706429487925161,3,500,0.4614307111355364,0.495649482807519,0.687411459298172
