number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
61,PRUNED,6.311999999999992,0.1,0.0071740007243857205,0.9456798877275365,256,3.507490946278053e-05,128,10,4096,0.6315801428709102
62,COMPLETE,101.0499999999988,0.1,0.005649316670888778,0.9196372168592568,256,3.4576224705456915e-05,128,6,4096,0.47787642517599127
63,PRUNED,11.648999999999994,0.1,0.008975980318435222,0.9309178836862415,256,2.890134433604364e-05,256,10,4096,0.4400607056524616
64,COMPLETE,190.3249999999948,0.1,0.015317785970581239,0.9503761190385016,512,0.00011504726989474476,64,4,4096,0.6708830307952411
65,PRUNED,6.454999999999993,0.1,0.019489249457764077,0.9481153954539076,512,0.0003533737719775051,64,4,4096,0.8596659493518124
66,PRUNED,22.671000000000078,0.3,0.025019849268710894,0.9874924138879393,512,7.100417320133541e-05,256,4,4096,0.3447645886323094
67,PRUNED,6.734999999999992,0.1,0.027235604232591002,0.9744853721368463,512,0.00010827629307088226,256,4,4096,0.43107803930712796
68,PRUNED,47.302999999999756,0.1,0.021104274532341788,0.9776082703467784,512,0.00010153701119424998,256,4,4096,0.46182894737945124
69,PRUNED,5.848999999999997,0.2,0.030963315226698113,0.9549811974678788,256,0.00015522013373665824,256,3,8192,0.9417225973964785
70,PRUNED,77.53899999999909,0.3,0.04115111631453996,0.9836597543843082,512,0.000156974476784704,256,4,8192,0.3607715649902368
71,PRUNED,7.004999999999991,0.1,0.017112390656363587,0.9508622758862196,256,0.0002520110601457725,256,4,4096,0.4338006524193141
72,PRUNED,4.170999999999998,0.1,0.01954707665674375,0.9820658144063719,512,6.483156080883102e-05,256,10,8192,0.36981771866823837
73,PRUNED,3.837999999999998,0.1,0.014057917534783929,0.9824115506891757,512,0.0001849085308323836,256,4,8192,0.4826548873147471
74,PRUNED,5.994999999999994,0.3,0.005004315121134865,0.920452556092439,256,1.3592615400313565e-05,128,10,4096,0.836498353804888
75,PRUNED,6.480999999999992,0.1,0.01670540191820082,0.980960119686186,256,0.00019601893743678416,256,4,4096,0.32339175997653924
76,COMPLETE,6.324999999999994,0.3,0.012888197374448549,0.9419835161516104,256,5.90830875476181e-05,128,10,4096,0.8918502642827772
77,PRUNED,69.50899999999938,0.1,0.00959731847495976,0.9446394446400405,512,7.059258968572645e-05,128,10,8192,0.9760236678910061
78,PRUNED,4.291999999999996,0.1,0.0054348119491359325,0.9300151716242763,256,1.7547994146564996e-05,128,3,4096,0.3907132427411466
79,PRUNED,55.15599999999994,0.3,0.017885282041661465,0.9594629345356738,256,0.00011479114099903044,256,6,4096,0.8689787518868948
80,PRUNED,35.775999999999975,0.1,0.027460789336065928,0.9615989517844866,512,0.0007202832735753062,256,6,4096,0.3785328490780939
81,PRUNED,32.313,0.3,0.047367768240747614,0.9659383560332936,512,8.865294557402371e-05,256,3,4096,0.6629751049988235
82,PRUNED,3.9339999999999975,0.1,0.022051500150796523,0.9571518674430418,512,0.00011582019230484827,64,4,8192,0.6850533840487665
83,PRUNED,27.89200000000005,0.3,0.03366951991240833,0.9496977356314076,512,0.0003607468137665232,256,6,4096,0.5663990448562014
84,COMPLETE,32.17500000000016,0.1,0.03275682475298837,0.9627052074495122,512,0.00024163251280353193,256,10,4096,0.4806326772603697
85,PRUNED,38.69099999999994,0.1,0.022741391448209716,0.9475059540835862,512,0.00017730610712832204,256,10,4096,0.8512747597358914
86,COMPLETE,113.72499999999823,0.1,0.022909454387487694,0.9494539056640506,256,0.00011082904902512259,128,10,4096,0.8808082104624003
87,PRUNED,1.4089999999999983,0.2,0.02242975128780169,0.9390028061279256,512,0.00030294156799402127,128,10,4096,0.9033049325853013
88,PRUNED,11.134999999999996,0.1,0.01196640154758955,0.9425136187795861,512,3.519513340099854e-05,256,6,4096,0.8885401633544692
89,PRUNED,37.46599999999984,0.3,0.04501275445713105,0.9504289861620301,256,9.228479627841563e-05,64,6,4096,0.9671514498743664
90,PRUNED,17.00500000000004,0.2,0.010093999276608145,0.941701280175268,512,0.0001585148209608214,128,10,4096,0.9127032862046855
91,PRUNED,5.1589999999999945,0.3,0.013570698049568473,0.9475694949203609,512,0.000143703687172977,128,10,4096,0.9900970468105601
92,PRUNED,63.30399999999966,0.3,0.01785647255613085,0.9597402155432473,512,7.227689639489505e-05,128,10,4096,0.8494792278207594
93,COMPLETE,91.92499999999922,0.1,0.009981393079162798,0.9422986337997795,512,8.384260829773632e-05,64,4,4096,0.6176428158910381
94,COMPLETE,13.549999999999972,0.1,0.016093425696151464,0.9654223021143022,512,0.0006060799864248032,256,10,4096,0.5018070232782647
95,PRUNED,21.967999999999975,0.3,0.03208753809033889,0.9757540984819204,256,0.00017733251358180156,256,4,4096,0.8950647830447054
96,PRUNED,18.72100000000001,0.1,0.006507169022482854,0.9577543148191893,512,0.00010955704631495969,64,10,4096,0.9305871781642714
97,PRUNED,6.84299999999999,0.1,0.028112818985758174,0.9363597964598465,256,6.421518117929778e-05,64,4,4096,0.735539738729356
98,PRUNED,46.21399999999957,0.3,0.015853415721365945,0.9667198622743373,512,0.0009179119308584543,256,4,4096,0.436446040153183
